lg	from	to
lg22	0	1
lg22	1	2
lg22	2	3
lg22	3	4
lg22	4	5
lg22	5	6
lg22	6	7
lg22	7	8
lg22	8	9
lg22	9	10
lg22	10	11
lg22	11	12
lg22	12	13
lg22	13	14
lg22	14	15
lg22	15	16
lg22	16	17
lg22	17	18
lg22	18	19
lg22	19	20
lg22	20	21
lg22	21	22
lg23	0	1
lg23	1	2
lg23	2	3
lg23	3	4
lg23	4	5
lg23	5	6
lg23	6	7
lg23	7	8
lg23	8	9
lg23	9	10
lg23	10	11
lg23	11	12
lg23	12	13
lg23	13	14
lg23	14	15
lg23	15	16
lg23	16	17
lg23	17	18
lg23	18	19
lg23	19	20
lg23	20	21
lg23	21	22
lg23	22	23
lg23	23	24
